timestamp,count_active_player
1698573679000,7385
1698577300000,7545
1698580856000,9475
1698584461000,11941
1698588080000,13767
1698591698000,12994
1698595311000,9696
1698598883000,7341
1698602513000,6291
1698606086000,5801
1698609714000,5683
1698613318000,5563
1698616914000,5466
1698620514000,5152
1698624116000,5178
1698627723000,5734
1698631351000,6372
1698634859000,6431
1698638518000,6216
1698642066000,8324
1698645719000,7468
1698649308000,6553
1698652875000,6166
1698656477000,6619
1698660060000,6680
1698663632000,7656
1698667283000,10502
1698670857000,14552
1698674474000,17145
1698678163000,16225
1698681668000,12161
1698685260000,8695
1698688835000,7001
1698692494000,6176
1698696100000,6000
1698699749000,5911
1698703251000,5881
1698706896000,5686
1698710472000,6118
1698714052000,7017
1698717700000,8000
1698721297000,8185
1698724871000,8115
1698728480000,8068
1698732098000,6853
1698735714000,5925
1698739237000,5637
1698742844000,5819
1698746431000,6038
1698750093000,7122
1698753632000,9418
1698757285000,12781
1698760843000,15486
1698764444000,15118
1698768056000,11094
1698771642000,7719
1698775234000,6096
1698778845000,5349
1698782500000,5086
1698786099000,5013
1698789711000,4731
1698793308000,4554
1698796862000,4642
1698800464000,5381
1698804065000,6455
1698807717000,7137
1698811273000,6977
1698814838000,7055
1698818439000,6160
1698822108000,5628
1698825659000,5516
1698829243000,5657
1698832849000,5820
1698836453000,6741
1698840050000,9099
1698843684000,12277
1698847248000,14943
1698850852000,14404
1698854449000,10662
1698858025000,7849
1698861669000,6320
1698865223000,5712
1698868851000,5653
1698872464000,5652
1698876075000,5332
1698879691000,5171
1698883281000,5260
1698887006000,6239
1698890540000,7234
1698894122000,7920
1698897638000,7535
1698901289000,7446
1698904868000,6128
1698908484000,5418
1698912036000,4999
1698915656000,4910
1698919259000,5211
1698922878000,6031
1698926447000,8198
1698930141000,11086
1698933688000,13646
1698937252000,13487
1698940856000,10293
1698944492000,7332
1698948115000,5973
1698951663000,5197
1698955293000,4983
1698958885000,4830
1698962494000,4848
1698966077000,4548
1698969699000,4796
1698973399000,5665
1698976910000,6576
1698980513000,7030
1698984075000,6687
1698987639000,6766
1698991303000,5753
1698994890000,5361
1698998503000,5199
1699002091000,5014
1699005698000,5043
1699009283000,5915
1699012910000,7708
1699016454000,10336
1699020091000,12286
1699023711000,13004
1699027303000,11379
1699030903000,8650
1699034435000,6723
1699038051000,5328
1699041645000,4964
