date,count_player_recommended,average_player_time_played
2023-09-20,392,23.29676724137931
2023-09-21,1258,23.378859527121005
2023-09-22,546,23.2700325732899
2023-09-23,404,24.027032967032966
2023-09-24,350,25.075124378109454
2023-09-25,334,24.046456692913388
2023-09-26,217,29.88838174273859
2023-09-27,204,24.769162995594716
2023-09-28,188,26.650943396226417
2023-09-29,153,24.065714285714286
2023-09-30,155,23.062087912087915
2023-10-01,179,19.680660377358492
2023-10-02,149,23.064705882352943
2023-10-03,164,23.1123595505618
2023-10-04,112,20.18046875
2023-10-05,99,23.0051724137931
2023-10-06,98,28.41120689655172
2023-10-07,109,26.7703125
2023-10-08,151,29.049707602339183
2023-10-09,151,31.106358381502886
2023-10-10,88,25.15142857142857
2023-10-11,61,25.897058823529413
2023-10-12,61,25.391780821917806
2023-10-13,78,26.52857142857143
2023-10-14,71,22.527272727272727
2023-10-15,62,20.735135135135135
2023-10-16,73,25.774117647058826
2023-10-17,58,33.109523809523814
2023-10-18,49,25.572222222222223
2023-10-19,37,36.78333333333334
2023-10-20,64,27.304285714285715
2023-10-21,57,24.122222222222224
2023-10-22,62,28.178571428571427
2023-10-23,52,30.634920634920636
2023-10-24,34,27.52307692307692
2023-10-25,44,27.028846153846153
2023-10-26,30,28.866666666666667
2023-10-27,34,31.013953488372092
2023-10-28,49,24.28148148148148
2023-10-29,62,20.347887323943663
2023-10-30,48,26.61320754716981
2023-10-31,53,23.15
2023-11-01,50,26.642372881355932
2023-11-02,53,26.56307692307692
2023-11-03,48,32.26481481481481
2023-11-04,46,23.54901960784314
2023-11-05,44,21.647058823529413
2023-11-06,43,23.401999999999997
2023-11-07,27,24.63030303030303
2023-11-08,29,25.802857142857142
2023-11-09,21,14.68
2023-11-10,31,22.33939393939394
2023-11-11,29,19.428571428571427
2023-11-12,41,20.03111111111111
2023-11-13,37,17.16153846153846
2023-11-14,19,18.04090909090909
2023-11-15,21,22.404
2023-11-16,15,27.490476190476187
2023-11-17,31,16.346153846153847
2023-11-18,24,13.386666666666665
2023-11-19,56,21.152380952380952
2023-11-20,1,75.1
